,date,state,positive
718,2020-04-19,BC,105
719,2020-04-19,BH,237
720,2020-04-19,BN,109
721,2020-04-19,BT,308
722,2020-04-19,BV,315
723,2020-04-19,BR,18
724,2020-04-19,BZ,15
725,2020-04-19,CS,64
726,2020-04-19,CL,40
727,2020-04-19,CJ,248
728,2020-04-19,CT,183
729,2020-04-19,CV,154
730,2020-04-19,DB,82
731,2020-04-19,DJ,61
732,2020-04-19,GL,276
733,2020-04-19,GR,98
734,2020-04-19,GJ,17
735,2020-04-19,HR,16
736,2020-04-19,HD,391
737,2020-04-19,IL,115
738,2020-04-19,IS,156
739,2020-04-19,IF,186
740,2020-04-19,MM,55
741,2020-04-19,MH,37
742,2020-04-19,MS,268
743,2020-04-19,NT,364
744,2020-04-19,OT,13
745,2020-04-19,PH,52
746,2020-04-19,SM,45
747,2020-04-19,SJ,20
748,2020-04-19,SB,166
749,2020-04-19,SV,2105
750,2020-04-19,TR,79
751,2020-04-19,TM,376
752,2020-04-19,TL,31
753,2020-04-19,VS,59
754,2020-04-19,VL,19
755,2020-04-19,VN,215
756,2020-04-19,B,1001
757,2020-04-20,AB,155
758,2020-04-20,AR,410
759,2020-04-20,AG,96
760,2020-04-20,BC,113
761,2020-04-20,BH,259
762,2020-04-20,BN,109
763,2020-04-20,BT,308
764,2020-04-20,BV,340
765,2020-04-20,BR,18
766,2020-04-20,BZ,15
767,2020-04-20,CS,64
768,2020-04-20,CL,44
769,2020-04-20,CJ,259
770,2020-04-20,CT,186
771,2020-04-20,CV,154
772,2020-04-20,DB,82
773,2020-04-20,DJ,61
774,2020-04-20,GL,287
775,2020-04-20,GR,101
776,2020-04-20,GJ,17
777,2020-04-20,HR,17
778,2020-04-20,HD,392
779,2020-04-20,IL,119
780,2020-04-20,IS,155
781,2020-04-20,IF,189
782,2020-04-20,MM,55
783,2020-04-20,MH,37
784,2020-04-20,MS,295
785,2020-04-20,NT,368
786,2020-04-20,OT,13
787,2020-04-20,PH,52
788,2020-04-20,SM,45
789,2020-04-20,SJ,20
790,2020-04-20,SB,177
791,2020-04-20,SV,2115
792,2020-04-20,TR,80
793,2020-04-20,TM,377
794,2020-04-20,TL,35
795,2020-04-20,VS,61
796,2020-04-20,VL,19
797,2020-04-20,VN,214
798,2020-04-20,B,1023
799,2020-04-21,AB,155
800,2020-04-21,AR,423
801,2020-04-21,AG,98
802,2020-04-21,BC,117
803,2020-04-21,BH,294
804,2020-04-21,BN,116
805,2020-04-21,BT,314
806,2020-04-21,BV,345
807,2020-04-21,BR,18
808,2020-04-21,BZ,15
809,2020-04-21,CS,64
810,2020-04-21,CL,47
811,2020-04-21,CJ,263
812,2020-04-21,CT,198
813,2020-04-21,CV,154
814,2020-04-21,DB,85
815,2020-04-21,DJ,63
816,2020-04-21,GL,297
817,2020-04-21,GR,104
818,2020-04-21,GJ,23
819,2020-04-21,HR,17
820,2020-04-21,HD,392
821,2020-04-21,IL,128
822,2020-04-21,IS,161
823,2020-04-21,IF,193
824,2020-04-21,MM,57
825,2020-04-21,MH,43
826,2020-04-21,MS,303
827,2020-04-21,NT,368
828,2020-04-21,OT,13
829,2020-04-21,PH,54
830,2020-04-21,SM,46
831,2020-04-21,SJ,23
832,2020-04-21,SB,182
833,2020-04-21,SV,2238
834,2020-04-21,TR,80
835,2020-04-21,TM,389
836,2020-04-21,TL,35
837,2020-04-21,VS,60
838,2020-04-21,VL,20
839,2020-04-21,VN,214
840,2020-04-21,B,1033
841,2020-04-22,AB,160
